"","job_titles","Position","Agency","Job.Category","Closes","job_descriptions","links"
"1","Senior Engineer/ Engineer, InfoComm Infrastructure","Senior Engineer/ Engineer, InfoComm Infrastructure","Defence Science and Technology Agency","InfoComm, Technology, New Media Communications, Engineering & Design & ICT","9 Oct 2020"," At DSTA, we develop leading-edge technological and engineering solutions for the defence and security of our nation. Look forward to comprehensive professional and personal development programmes, and grow in a collaborative and dynamic environment. Join us in the engineering, IT or the corporate domains to make an impact on the defence and security of the nation! Opportunity We are looking for an individual to join us in our Infocomm Infrastructure Programme Centre where you will lead, develop, design, implement and support infrastructure systems inclusive of enterprise cloud, data centre, network, optical and cellular transmission, security infra and mobility solutions.  The role will require you to: Scan and research technology landscape, identify and propose new solutions to support MINDEF/SAF digital workspace Participate in the design, tender & contract evaluation, systems integration and commissioning to the management of integrated information infrastructure and mobility solutions for MINDEF/SAF Direct and liaise with all relevant internal and external parties to ensure timely completion and implementation of project in line with customers' requirements, schedule and budget Requirements Tertiary qualification in Computer Engineering, Computer Science, Information Technology or equivalent Strong understanding of large scale computing solution Strong technical competency in infrastructure, cloud-based solution and microservice architecture Strong technical competency in IT trouble-shooting for operating systems, client servers and security areas Good knowledge of Information Systems security Good knowledge of Windows/LINUX Operating Systems, Microsoft Exchange, Virtualisation Technology, Client Technology and Data Analytic Knowledge in Data Centre design, build and operation Good communication and interpersonal skills Strong analytical skills, resourceful, meticulous and a team player Able to multi-task and work independently Thrive in a dynamic working environment ","https://careers.pageuppeople.com/688/cwlive/en/job/2000795/senior-engineer-engineer-infocomm-infrastructure"
"2","Executive/Senior Executive (SCD) - Contract","Executive/Senior Executive (SCD) - Contract","National Environment Agency","Administration Support","11 Oct 2020"," We are looking for an Executive/Senior Executive at the Sanitation and Compliance Division to assist in the following: Prepare and send letters to members of the public, including tracking the status/outcomes of the letters Correspond with members of the public, including replying to ad hoc enquiries Prepare write-ups, compile and prepare documents for weekly meetings, including liaising internally with colleagues Any other ad hoc administrative duties and paperwork such as data entry and filing Job requirements: Proficient in the use of Microsoft Excel and Microsoft Word Able to multi-task well Good interpersonal skills Strong sense of timeliness ","https://careers.pageuppeople.com/688/cwlive/en/job/545003/executivesenior-executive-scd-contract"
"3","Assistant Director/ Senior Manager/ Manager, Levy Rebate Administration Team (Work Pass Division) - Contract","Assistant Director/ Senior Manager/ Manager, Levy Rebate Administration Team (Work Pass Division) - Contract","Ministry of Manpower","Administration Support, InfoComm, Technology, New Media Communications, Policy Formulation, Customer Service, Public Service Leadership","18 Oct 2020"," You will oversee the administration of the support measures to help employers, including levy rebates and waivers.   Responsibilities:  Plan and implement workflows and processes, with the use of relevant data and technology, to support the administration of support schemes to meet policy objectives Review and recommend enhancements to policies, operational processes and customer communications Evaluate appeals that do not fall within policy parameters and provide expert advisory on support schemes Plan and implement appropriate compliance controls and audits Supervise and coach a small team of officers in daily operations including handling appeals and enquiries (for AD/Senior Manager)   Requirements: Possess tertiary qualifications in any field of study At least 3 years of relevant work experience (for Asst Director/Senior Manager) Excellent verbal and written communication skills Strong analytical skills and comfortable with figures Good MS Excel skills Knowledge of data analytics, Robotic Processing Automation (UiPath) or programming skills is advantageous, but not required Resourceful and enjoy working in a fast-paced environment Motivated to serve the public and stakeholders, and contribute to Singapore’s future ","https://careers.pageuppeople.com/688/cwlive/en/job/545009/assistant-director-senior-manager-manager-levy-rebate-administration-team-work-pass-division-contract"
"4","Senior Executive, , Levy Rebate Administration Team (Work Pass Division) - Contract","Senior Executive, , Levy Rebate Administration Team (Work Pass Division) - Contract","Ministry of Manpower","Accounting, Audit, Finance, Administration Support, Customer Service","18 Oct 2020"," Responsibilities:  Manage customer enquiries on support schemes Process appeals according to policy guidelines and put up recommendations for deviations Perform checks and audits Assist with administrative tasks such as case tracking, data mining, document verification, etc.   Requirements: Possess tertiary qualifications in any field of study Proficient in Microsoft Office including Word and Excel. Good verbal and written communication skills Meticulous and attentive to details Good team player Resourceful Motivated to serve the public and stakeholders, and contribute to Singapore’s future ","https://careers.pageuppeople.com/688/cwlive/en/job/545010/senior-executive-levy-rebate-administration-team-work-pass-division-contract"
"5","Deputy Director (Administration and Procurement Services)/Corporate Operations Division (1-Year Contract)","Deputy Director (Administration and Procurement Services)/Corporate Operations Division (1-Year Contract)","Ministry of Trade and Industry","Administration Support, Building and Estate Management, Occupational Safety and Health","11 Oct 2020"," ResponsibilitiesThe officer will spearhead and implement initiatives in the provision of corporate services, business continuity planning and incident reporting framework as follows:   Procurement Review MTI HQ’s procurement policies and implementation Provide advisory services for MTI HQ, DOS and MTI’s Statutory Boards (SBs) for high value tenders   Facilities and Infrastructure Oversee MTI HQ’s infrastructure projects Ensure compliance with Office Space Management Framework (OSMF) for MTI HQ and SBs Oversee MTI HQ’s facilities management and fixed asset management   Safety and Security Oversee MTI HQ’s security and safety management matters Work with MTI’s SBs on infrastructure protection Oversee MTI’s Business Continuity Plan   Other Corporate Support Services Oversee MTI’s ISO 9001:2015 Quality Management System and its annual audits Support MTI Committee of Supply (COS) in administrative matters Oversee MTI Documentation and Registry Coordinate the Parliamentary Questions management process RequirementsAn ideal candidate should have: At least 5 years of relevant work experience, with at least 3 years of supervisory experience managing and coaching teams Good communication and interpersonal skills with the ability to engage people at all levels Ability to conceptualise and articulate policies, as well as translating  strategies to operational practices Good prioritisation skills and excellent drive to achieve outcomes Good people management skills Shortlisted candidates will be notified within 2 weeks of the closing date of the advertisement. ","https://careers.pageuppeople.com/688/cwlive/en/job/545011/deputy-director-administration-and-procurement-servicescorporate-operations-division-1year-contract"
"6","Senior Manager/Manager, Operations Policy and Planning (FMMD) - Contract","Senior Manager/Manager, Operations Policy and Planning (FMMD) - Contract","Ministry of Manpower","Administration Support, Policy Formulation, Customer Service, Enforcement, Statistics","18 Oct 2020"," Responsibilities: As a member of the Repatriation Operations Policy and Planning team, you are responsible for policy developments and reviews, secretariat duties and admin support to the flight and data teams. The job entails Developing and reviewing repatriation ops policies. Performing secretariat duties to provide timely updates and reports. Supporting IT needs, procurement and budget management and other matters supporting the repatriation operations.   Requirements: At least 3 years of relevant work experience in policy/corporate/strategic planning Inquisitive mind, meticulous with strong analytical and critical thinking skills Excellent written, communication, presentation and facilitation skills Excellent interpersonal skills Good team player who is proactive ","https://careers.pageuppeople.com/688/cwlive/en/job/545012/senior-managermanager-operations-policy-and-planning-fmmd-contract"
"7","Senior Manager/Manager, Flight Facilitation (FMMD) - Contract","Senior Manager/Manager, Flight Facilitation (FMMD) - Contract","Ministry of Manpower","Others, Customer Service, Enforcement","18 Oct 2020"," Responsibilities:  Manage country-specific repatriation matters Work with representatives from government agencies, embassies, airlines and partners on repatriation operations Track, review and provide regular updates on the repatriation status for each flight Officer will develop strong project management skills. He/She will have the opportunity to plan, design and develop, implement, monitor and evaluate the various projects that he/ she is tasked to be in charge of. Officer will understand firsthand, the complex processes of a repatriation flight, including mounting of a flight, coordinating the flight manifest and working across multiple agencies / stakeholders.   Requirements: >3 years of relevant experience in project management and stakeholder management. Experience in airline/travel industry will be an added advantage. Good communication and interpersonal skills with the ability to work across organizational lines, liaise, negotiate and provide constructive feedback to both internal and external stakeholders Excellent English language skills Comfortable in making presentations to different stakeholders at short notice Officer must be self-motivated, confident, meticulous, able to think quickly and make decisions on the ground, and able to work under pressure Proficient in EXCEL and other Microsoft Office software ","https://careers.pageuppeople.com/688/cwlive/en/job/545014/senior-managermanager-flight-facilitation-fmmd-contract"
"8","Senior Manager/Manager, Data Management (FMMD) - Contract","Senior Manager/Manager, Data Management (FMMD) - Contract","Ministry of Manpower","Administration Support, InfoComm, Technology, New Media Communications, Others, Customer Service, Statistics","18 Oct 2020"," Responsibilities:  a) Support in the maintenance of up-to-date databases of workers with repatriation needs: Merge, clean and update multiple administrative databases in a timely manner. Collaborate with teams and departments to promptly send home workers with compassionate reasons. Conduct data checks using data tools such as PowerBI and EXCEL macros/vlookup b) Ensure timely reporting of flight demand and ad-hoc data requests to support operations c) Actively provide feedback and process improvements for data collection, processing and dissemination.   Requirements:  Relevant experience in working with administrative databases and across multiple data sources. Independent and meticulous, with strong data sense Experience or certifications in data tools such as Power BI or RPA language is an added advantage Good interpersonal and communication skills. Able to connect with people and understand their needs. Quick to adapt, able to multitask and work in fast paced environment. Proficient in advanced EXCEL skills such as VBA Macro is an added advantage ","https://careers.pageuppeople.com/688/cwlive/en/job/545015/senior-managermanager-data-management-fmmd-contract"
"9","Senior Manager/ Manger, Case Management (FMMD) - Contract","Senior Manager/ Manger, Case Management (FMMD) - Contract","Ministry of Manpower","Administration Support, Customer Service","18 Oct 2020"," Responsibilities: As a member of the Case Management team, you will be jointly responsible for the effective resolution of causes related to repatriation, ensuring that workers who needs to go home is able to do so in time. You will be part of a fast-paced team and your responsibilities will include: Expeditious management of repatriation cases and suggest improvements in processes Track and manage enquiries and cases Provide prompt, accurate and clear advice to employers/workers on repatriation matters Triage across different stakeholders to ensure that repatriation cases are resolved in a timely manner Manage the database system   Requirements: Good communication (written and spoken) skills Good customer centric mindset and service skills, and ability to handle difficult customers Possess analytical, creative thinking and problem-solving skills Able to work as a team and independently, and adapt to complex changes ","https://careers.pageuppeople.com/688/cwlive/en/job/545016/senior-manager-manger-case-management-fmmd-contract"
"10","Senior/Assistant Director, Operations Policy and Planning (FMMD) - Contract","Senior/Assistant Director, Operations Policy and Planning (FMMD) - Contract","Ministry of Manpower","Policy Formulation, Statistics, Public Service Leadership, Economics/Statistics, Corporate Strategy/Top Management","18 Oct 2020"," Responsibilities: You will lead a team to develop, maintain and implement policies and operations plans related to repatriation needs of foreign workers. You will supervise the preparation of updates and reports. You will also oversee the admin support to ensure smooth functioning of repatriation operations. The job entails Developing and reviewing repatriation-related policies and plans. Working closely with other departments in the Ministry of Manpower and relevant agencies for updates and reporting purposes. Coordinating the admin needs, including IT needs, procurement and budget management and other matters to support the operations.   Requirements: Minimum 5-8 years’ experience in policy/corporate/strategic planning Strong leadership skills, and able to work under pressure Inquisitive mind with strong analytical and critical thinking skills Excellent written, communication, presentation and facilitation skills Excellent interpersonal skills Excellent with Microsoft Office, especially PowerPoint and Excel ","https://careers.pageuppeople.com/688/cwlive/en/job/545017/seniorassistant-director-operations-policy-and-planning-fmmd-contract"
